year,field_of_study,major,students
2009,Humanities,"Foreign Languages, Literatures and Linguistics",6754.0
2009,Humanities,Philosophy and Religious Studies,2225.0
2009,Humanities,Theology and Religious Vocations,3062.0
2009,Intensive English,Intensive English,26059.0
2009,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1074.0
2009,Legal Studies and Law Enforcement,Legal Professions and Studies,8965.0
2009,Math and Computer Science,Computer and Information Sciences,45511.0
2009,Math and Computer Science,Mathematics and Statistics,15289.0
2009,Other Fields of Study,Basic Skills,
2009,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3570.0
2009,Other Fields of Study,Liberal Arts and Sciences/General Studies,38520.0
2009,Other Fields of Study,Library Science,553.0
2009,Other Fields of Study,Multi/Interdisciplinary Studies,10317.0
2009,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4051.0
2009,Other Fields of Study,Personal and Culinary Services,1107.0
2009,Other Fields of Study,Reserve Officer Training Corps,
2009,Physical and Life Sciences,Biological and Biomedical Sciences,33929.0
2009,Physical and Life Sciences,Physical Sciences,26547.0
2009,Physical and Life Sciences,Science Technologies/Technicians,835.0
2009,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2131.0
2009,Social Sciences,History,2424.0
2009,Social Sciences,Psychology,8992.0
2009,Social Sciences,Public Administration and Social Service Professions,6934.0
2009,Social Sciences,Social Sciences,34372.0
2009,Undeclared,Undeclared,18705.0
2010,Agriculture,Agriculture,6801.0
2010,Agriculture,Natural Resources and Conservation,3087.0
2010,Business and Management,Business and Management,154452.0
2010,Communications and Journalism,"Communication, Journalism",12225.0
2010,Communications and Journalism,Communications Technologies/Technicians,2537.0
2010,Education,Education,16933.0
2010,Engineering,Construction Trades,319.0
2010,Engineering,Engineering,126180.0
2010,Engineering,Engineering Technologies/Technicians,6640.0
2010,Engineering,Mechanic and Repair Technologies/Technicians,506.0
2010,Engineering,Military Technologies,24.0
2010,Engineering,Precision Production,43.0
2010,Engineering,Transportation and Materials Moving,1904.0
2010,Fine and Applied Arts,Architecture,8819.0
2010,Fine and Applied Arts,Visual and Performing Arts,28418.0
2010,Health Professions,Health Professions,32526.0
2010,Health Professions,Residency Programs,295.0
2010,Humanities,English Language and Literature/Letters,4969.0
2010,Humanities,"Foreign Languages, Literatures and Linguistics",6669.0
